                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.42193,                0.58701,                 0.3614,                0.93782,                0.97588,                0.92593,                0.98699,                0.92778,                0.97588,                0.92593,                0.98699,                0.92898,                0.38576,                0.74017,                0.34115,                0.90395,              0.0007724,              0.0007724,              0.0007724
                     64,                0.41404,                0.55352,                0.35748,                0.92438,                0.92501,                0.92593,                0.97772,                 0.9217,                0.92501,                0.92593,                0.97772,                0.92054,                0.40277,                0.68949,                0.40983,                0.91636,              0.0007526,              0.0007526,              0.0007526
                     65,                0.39301,                0.55164,                0.31915,                0.90624,                0.96075,                0.92593,                0.98746,                0.91621,                0.96075,                0.92593,                0.98746,                0.94314,                0.40183,                0.56693,                0.36116,                 0.9057,              0.0007328,              0.0007328,              0.0007328
                     66,                0.41157,                0.55465,                0.32263,                0.93119,                 0.9246,                      1,                0.99017,                0.95475,                 0.9246,                      1,                0.99017,                0.96069,                0.33916,                0.48681,                0.27265,                0.87991,               0.000713,               0.000713,               0.000713
                     67,                0.41172,                0.61853,                0.36182,                0.93036,                0.96015,                      1,                 0.9925,                0.94496,                0.96015,                      1,                 0.9925,                0.96103,                0.34004,                0.47727,                0.26309,                0.87129,              0.0006932,              0.0006932,              0.0006932
                     68,                0.41566,                0.54555,                0.32658,                0.91883,                0.99231,                      1,                  0.995,                0.93704,                0.99231,                      1,                  0.995,                0.95381,                0.38568,                0.51869,                0.28054,                0.89167,              0.0006734,              0.0006734,              0.0006734
                     69,                0.39034,                0.49893,                0.31179,                0.92654,                0.99899,                0.96296,                0.99293,                0.93315,                0.99899,                0.96296,                0.99393,                0.93527,                0.41515,                0.56253,                0.30928,                0.90196,              0.0006536,              0.0006536,              0.0006536
                     70,                0.38926,                 0.5315,                0.31588,                0.92487,                      1,                0.96202,                0.99293,                0.90341,                0.99768,                      1,                  0.995,                0.93299,                0.42637,                 0.6246,                0.34327,                0.91178,              0.0006338,              0.0006338,              0.0006338
                     71,                0.38388,                0.56253,                0.31594,                0.89839,                 0.9953,                      1,                  0.995,                0.91673,                 0.9953,                      1,                  0.995,                0.94304,                0.40412,                0.63402,                0.33174,                0.90432,               0.000614,               0.000614,               0.000614
                     72,                0.38218,                0.56336,                0.32311,                0.91821,                0.99908,                      1,                  0.995,                0.91233,                0.99908,                      1,                  0.995,                0.95109,                0.38797,                0.58009,                0.28798,                 0.8974,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.3914,                0.52392,                0.32046,                0.92041,                0.98892,                      1,                  0.995,                0.95072,                0.98892,                      1,                  0.995,                0.95647,                0.36916,                0.56325,                0.26965,                0.88363,              0.0005744,              0.0005744,              0.0005744
                     74,                0.37827,                0.50915,                0.30531,                0.91179,                      1,                0.99878,                  0.995,                0.96206,                      1,                0.99878,                  0.995,                0.95771,                 0.3445,                0.55552,                0.26628,                0.86616,              0.0005546,              0.0005546,              0.0005546
                     75,                0.36704,                0.51675,                0.29792,                0.91384,                      1,                0.99942,                  0.995,                0.95292,                      1,                0.99942,                  0.995,                0.96452,                0.35984,                0.57121,                 0.2715,                0.87567,              0.0005348,              0.0005348,              0.0005348
                     76,                0.37348,                0.52233,                 0.3141,                0.92228,                0.99926,                      1,                  0.995,                0.92308,                0.99926,                      1,                  0.995,                0.95523,                0.39567,                0.59595,                0.28901,                0.88295,               0.000515,               0.000515,               0.000515
                     77,                0.35478,                0.51923,                0.28016,                0.90775,                0.99966,                      1,                  0.995,                0.92228,                0.99966,                      1,                  0.995,                0.95279,                0.40642,                0.59895,                0.28605,                0.88812,              0.0004952,              0.0004952,              0.0004952
                     78,                0.38133,                0.55331,                0.29823,                 0.8989,                      1,                0.99971,                  0.995,                0.92289,                      1,                0.99971,                  0.995,                0.95619,                0.39024,                0.56628,                0.26724,                0.88378,              0.0004754,              0.0004754,              0.0004754
                     79,                0.35333,                0.47857,                 0.2791,                0.90559,                      1,                0.99984,                  0.995,                0.92665,                      1,                0.99984,                  0.995,                0.96211,                0.34563,                0.54671,                0.24393,                0.86036,              0.0004556,              0.0004556,              0.0004556
                     80,                0.34123,                0.49925,                0.28428,                0.89688,                      1,                0.99878,                  0.995,                0.92908,                      1,                0.99878,                  0.995,                0.95763,                0.32934,                0.53932,                0.24431,                0.85099,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.3669,                0.48312,                0.30232,                0.91467,                      1,                 0.9975,                  0.995,                0.92749,                      1,                 0.9975,                  0.995,                0.95815,                0.33814,                0.53276,                0.25654,                0.86304,               0.000416,               0.000416,               0.000416
                     82,                0.33328,                0.46154,                0.27522,                0.89375,                      1,                0.99698,                  0.995,                 0.9343,                      1,                0.99698,                  0.995,                0.96908,                0.35177,                 0.5263,                0.26244,                0.88698,              0.0003962,              0.0003962,              0.0003962
                     83,                0.35538,                0.53919,                0.28291,                0.89154,                      1,                0.95974,                0.99393,                0.94699,                      1,                0.99412,                  0.995,                 0.9703,                0.33152,                 0.5409,                 0.2529,                0.87715,              0.0003764,              0.0003764,              0.0003764
                     84,                0.35008,                0.48935,                0.30698,                0.90961,                0.99451,                0.96296,                0.99393,                 0.9769,                      1,                0.99506,                  0.995,                0.97497,                0.31365,                 0.5592,                0.24721,                0.85309,              0.0003566,              0.0003566,              0.0003566
                     85,                0.35798,                0.45326,                0.28056,                0.91176,                0.99485,                0.96296,                0.99393,                 0.9786,                      1,                0.99202,                  0.995,                0.97529,                0.30516,                0.56269,                0.23879,                0.84652,              0.0003368,              0.0003368,              0.0003368
                     86,                0.35819,                0.49695,                0.28745,                0.89859,                      1,                0.99248,                  0.995,                0.97795,                      1,                0.99248,                  0.995,                0.97155,                0.29618,                0.55231,                0.22595,                0.84388,               0.000317,               0.000317,               0.000317
                     87,                0.34636,                0.50074,                0.29902,                0.90179,                0.99676,                      1,                  0.995,                0.96869,                0.99676,                      1,                  0.995,                0.96915,                0.29655,                0.54289,                0.21798,                0.84114,              0.0002972,              0.0002972,              0.0002972
                     88,                0.34963,                0.46162,                0.27104,                0.88781,                0.99707,                      1,                  0.995,                0.96509,                0.99707,                      1,                  0.995,                0.96511,                0.30821,                0.53387,                0.21606,                0.84577,              0.0002774,              0.0002774,              0.0002774
                     89,                0.32942,                 0.4896,                0.26544,                0.88869,                0.99821,                      1,                  0.995,                0.96435,                0.99821,                      1,                  0.995,                0.96207,                0.30037,                0.52495,                0.20412,                0.84535,              0.0002576,              0.0002576,              0.0002576
